source,target
547782928,306909127
334025696,189695779
690736214,711275852
566922501,340121125
135883377,303245638
7894249,179746186
7894249,401320794
456925212,298508485
420893527,386905406
552761297,500411717
228061240,453720482
415644346,215120910
237403943,556291358
244704883,229938121
662741463,326866301
461547882,792595165
13588275,22949420
166627739,164747068
244704883,235676624
88785305,89732025
13588275,44997328
420893527,123214706
282677928,210930165
257004484,319599846
181899699,76861977
453187528,434680679
283605975,265134445
401629439,328971172
662741463,218609868
731564795,541171566
267609629,207595734
39577684,60241460
471276575,358281692
35487274,386931561
169624922,322325282
366440124,185401773
420893527,240940097
80671383,21751198
9030558,655654107
171332234,6603842
9030558,602786415
291504941,181166196
433848592,242183272
281095868,144143361
248652763,508808647
335139497,195725052
173860653,291976085
222659660,414395209
271476229,476948087
569125867,298245075
13588275,19158911
3346542,8038175
406806074,696586502
326807134,404002303
273881727,24847983
244704883,455495135
690736214,61708184
257066830,560875125
611408859,544824844
346494351,279085442
488243736,461547882
461547882,450552963
181899699,77591489
267407970,18473993
257386414,112465628
409469450,7716969
255458851,7604128
420893527,376587178
390860892,59294654
299908306,312690839
181899699,151914063
222659660,363191480
466889037,218186437
11582761,307798855
480719713,140105814
321776183,177499004
193200909,267589842
260771135,280710100
366255679,245166419
299908306,224970352
456925212,223391352
171332234,518221
466878925,337363997
428113258,386133603
210930165,474482045
662741463,340121125
427076362,49427696
281095868,1595779
285058343,358997620
294291839,298308143
93511481,21134511
36041325,681448060
569125867,363619181
420893527,104817951
183406465,338980162
690736214,67054307
178786625,612001559
240352641,260136460
390860892,46451621
238384014,265570327
166627739,463025243
420893527,174901152
318768118,494782761
146553153,19474556
54854546,12730143
614288838,570706884
255458851,636699100
662741463,274464761
271057290,175336363
257004484,386702775
427294725,236319575
547782928,293829098
552761297,85908517
401629439,272088457
166627739,163727272
257069764,567828526
456494191,381481730
466889037,61196019
281095868,536167590
195438755,311817893
5856094,12053240
2883590,2770018
171332234,289497964
88785305,207885072
319628783,333703544
290659920,302502396
281095868,818718164
315206399,226215631
390860892,142529323
146553153,145762801
88785305,319584896
456925212,366057245
173860653,472519770
428113258,404178597
257066830,532603850
303690604,160197309
299908306,110857268
257332093,363366443
390860892,139550661
257332093,454488442
453187528,92707793
420893527,66751808
213374483,84610851
287048125,277284955
271476229,630753317
332661546,294066839
219057303,342512379
455209110,300284048
270288637,497586027
662741463,303370754
9030558,348985563
428113258,370170779
88785305,209581465
560875125,490515772
118752073,7185747
240352641,384748983
334025696,717558286
2762541,294081880
283605975,448035792
59245310,3105240
277019335,332932964
402236678,194184140
178786625,211617968
54854546,9707642
195438755,488243736
353361625,223759850
420893527,1663156
258846989,566448231
428113258,373311241
230230302,186252071
420893527,6856928
456925212,233777636
222659660,212808246
189952272,384108010
401629439,313397158
241514576,567020326
222697091,169624922
358528631,253433388
180398332,85054519
390857534,220660347
456925212,300492105
270288637,485381632
428113258,193779139
471276575,211097714
549033684,465933059
119799833,674018
471276575,502932815
346170864,305852380
267407970,438230995
383462693,191588735
135883377,194287293
290800603,248072239
394675717,479518999
166627739,101937849
406806074,50019240
244704883,421454700
257673049,473498480
173860653,145143331
471276575,488216097
240443780,61651832
14204987,9184462
456925212,425529088
471276575,406143589
252606151,311831982
344924333,135967536
119799833,1654431
271311728,366314923
299908306,310324614
180177459,343638431
319628783,50168637
396362545,188189070
430788636,477522375
173860653,574607897
34381710,18548426
118752073,1706684
7894249,318618000
230230302,362642451
360766380,603098600
257066830,358260527
319628783,208933490
137037837,1043215090
426240389,470152408
244704883,267687779
5856094,3818792
456925212,389409866
232094840,244522350
240352641,249919978
201479675,503213437
344133220,690736214
199891666,167450951
611408859,597609664
112082607,37155912
333156814,412696149
357795422,485037442
146553153,132383226
456925212,270311682
428113258,266178123
171332234,2762541
566922501,621555126
144441380,240041441
1841900,97235419
611408859,35765166
137037837,192005235
181899699,24769945
569125867,163357789
137363946,92602890
427076362,135885325
59245310,9880640
396362545,146144604
93511481,172710539
481296807,168347176
180398332,523588897
420893527,196114395
852669061,550183565
135883377,2918235
181899699,3089826
42735014,396071980
333055487,320971730
428113258,326306429
427076362,7705570
348389525,168124413
11582761,634916903
358528631,60688154
320182139,2565256
261096214,110890293
326866301,219305476
41501022,191848256
430788636,173586235
94867644,640546877
411687051,662741463
576290948,199502452
42735014,311617219
146553153,29611012
146553153,54918230
104196443,28579664
180177459,12667323
662741463,234531862
290800603,27337638
852669061,747992664
265134445,257942721
267407970,350860472
260771135,514046981
317264818,296515993
505117799,154117298
241514576,200340
146553153,75573747
608445872,223945465
401671432,526864531
456854436,889751211
265134445,429941377
197700598,410552638
427076362,14134739
146553153,83743148
124487696,325982986
428113258,174715772
420893527,252477856
257004484,516757101
5856094,7772874
420893527,209607288
329467758,400633947
420893527,263912983
229814797,200590724
180398332,302598939
333156814,338826545
145015907,894875146
265134445,193405216
181899699,21702182
290659920,95123292
80671383,20035906
240352641,138018971
9300105,21784490
299197852,212337422
158753348,462223022
273881727,543866801
257673049,283333112
5856094,3575730
258846989,362798159
346494351,196377305
241514576,85974606
505117799,309326678
420893527,303205447
456494191,231284350
257004484,410912318
690736214,597997222
300287042,100005674
166627739,25258499
282343851,344924333
662741463,133365517
1756709,294516148
465506973,153572044
137037837,366168746
256262373,495910705
549033684,446686684
480719713,474450086
662741463,315632146
662741463,46808801
273881727,532219619
166627739,42261253
569125867,218990478
456494191,437124031
255328427,32525177
317264818,271406738
459014905,71923150
390860892,134468247
42735014,142073865
300287042,188765018
146553153,94241164
13588275,27157762
228875108,290519853
11582761,499511087
358528631,303097344
323705571,773808680
181899699,209877
547782928,269317488
549033684,616080883
181899699,1767101
5856094,2951347
210930165,189107469
9300105,26234658
852669061,555234598
42735014,579932
433848592,257259029
655632263,491446601
135883377,176682600
256262373,401343355
427076362,93594414
228875108,194382097
34381710,200315399
248652763,236914132
259551635,156371756
257465738,328063452
213402360,875620
229956624,148905399
506446286,269188303
549033684,368761065
290456041,147823271
5856094,15644152
13588275,6767751
456925212,28304297
246422438,185272481
5856094,13896804
88785305,253189197
208698330,6025039
662741463,244366999
180398332,5746121
13588275,5916708
456925212,162638639
427076362,116616319
13588275,34625088
50856132,95804028
401629439,299616827
335892490,85019668
505117799,482648595
25891559,147242911
428113258,373396935
332923459,356530005
375483829,402210952
3346542,101682645
466889037,43087
547782928,255330282
299908306,267174634
662741463,367269947
299908306,56848062
4408195,102884442
244704883,170164211
225245191,104196443
456925212,75173136
343048272,4736097
516146289,420819559
299908306,38169236
269092411,345660050
447582384,568165857
3346542,68596796
5856094,15283852
258611275,466103966
7894249,210930165
41501022,756272433
11582761,257811624
611408859,465355882
558255592,20352752
228128499,117891946
93511481,67962170
456925212,313096345
547782928,159231372
261018442,375608935
381144370,368594240
611408859,583661467
420893527,384958274
207634257,462198025
256262373,655741502
39577684,40733661
465506973,299282532
401629439,354697296
5856094,21061551
390860892,174433202
181379424,138061290
224734599,280560366
241514576,13560293
662741463,189076248
456925212,324309268
428113258,323831505
14204987,63463419
106430665,58314538
257465738,331150276
498156621,403078864
9300105,334136102
282343851,346361799
516146289,285212747
232094840,531252756
299908306,229111874
299908306,318976545
499384379,549033684
207383715,522817418
39538382,358430908
95176713,174392102
193200751,388239966
181899699,68586699
95176713,160768229
3346542,8988980
275013962,586156746
456854436,171418610
247910399,684884642
255366094,542647130
569125867,269078894
335892490,668917230
255458851,325129540
461111565,166028018
516146289,233673659
415644346,444159600
281095868,156955176
42735014,484809929
547782928,96370662
480978443,215887220
863599971,24539009
124487696,392920545
381144370,280075088
401629439,409816261
569125867,181368206
863599971,15206187
549033684,679454780
124487696,279805699
1756709,152193616
244704883,456320676
159004480,321823551
662741463,332354415
532802039,434756317
9030558,226745283
180398332,539707081
5856094,45750802
383462693,381866697
456925212,347457510
181899699,15300613
166627739,96966980
137037837,125812492
401629439,250539457
543162977,395241332
271476229,227365376
217841719,341732187
2883590,5422209
379290263,146553153
257465738,352789939
662741463,348699633
863599971,15003581
222659660,166627739
242047333,4232807
275013962,232711847
342659670,279667494
335139497,230701663
348759551,21567785
173860653,227161827
358528631,341309958
547782928,133626381
406806074,259705190
240352641,808250858
94867644,520341919
166627739,91071133
335892490,165251084
343048272,74073734
222659660,1635063
453895363,143463967
265134445,498037364
171332234,155814531
560875125,482877359
255590928,299847506
456925212,53382708
320989644,277019335
333156814,57042182
13588275,17142276
41501022,61804591
466878925,270050948
390857534,235546330
13588275,39477248
6273964,3079375
201479675,585792879
456925212,243270624
265134445,308624326
319628783,185990326
852669061,675852396
257332093,35433840
508522179,198833406
39577684,1979325
420893527,332338263
137363946,100005332
456494191,335568152
428113258,258531871
257004484,441218704
456494191,194015775
430788636,472781549
275013962,290909797
39558506,76069755
443977902,505536243
428113258,198813583
146553153,131707141
54854546,50762758
225492573,143189603
80671383,363971017
323705571,485044351
246392839,418173337
547782928,230458909
662741463,27358210
183501238,185167165
566922501,514389204
273881727,369421008
334025696,669107071
225492573,202959919
275682281,246174865
171332234,253569028
7894249,132297828
13588275,3793358
5856094,3339970
207383715,202328461
3346542,2911548
181899699,118030411
273881727,309731767
406806074,273237279
453895363,459669525
321776183,423093357
6273964,9866534
42735014,199257525
260785266,194921800
267407970,291265114
244704883,178885645
662741463,68446667
207634257,242032559
282476961,198752029
690736214,307486968
23810143,56875928
430788636,255363279
256262373,61710306
11582761,20269922
146553153,141243992
228875108,336968151
65011900,282124954
171332234,173102389
558255592,75145970
225492573,346698709
471276575,138493253
468713706,268737049
662741463,268280029
189952272,308479975
662741463,168447281
552761297,461852123
428113258,366518878
273881727,324661963
223609515,58195841
420893527,183910699
299908306,2295735
547782928,248204007
390860892,41595493
299908306,301074989
614288838,276997700
283605975,247945625
159004480,474191828
532802039,315206399
381144370,380626662
339019684,241471068
1841900,66685223
415644346,499213518
540304869,368337472
227016760,200463255
5856094,6284592
428113258,408261838
222659660,640693469
265134445,85407499
255366094,268240829
420893527,39151040
401629439,155291053
390860892,135255129
2762541,515983610
569125867,297659140
569125867,317308580
237403943,334395971
173774259,811542
244704883,61132980
710148599,5107435
199891666,306366230
269092411,300270719
378015876,488243736
258846989,736188100
228875108,399721585
257004484,629122626
466878925,684923523
209977815,30455058
210930165,285213844
14204987,137739284
281542763,541731342
25891559,162946084
402236678,154558602
247910399,573279961
271057290,161635123
182393059,415620415
612630823,646337408
275013962,509879038
456925212,349234791
307495639,356689864
300287042,275732451
547782928,303681312
257465738,257339279
461547882,124465884
5856094,4667314
250496539,117558064
466878925,350321560
181899699,142659608
317264818,506906514
1756709,88785305
1756709,14266191
225492573,5550502
351323514,326866301
480978443,575095912
466889037,190623978
181899699,4776209
246392839,353593066
237403943,199453461
246392839,454363998
241514576,540706283
135883377,192093716
183406465,501424117
453895363,241424616
240352641,291905252
852669061,625586664
475063255,1043038621
547782928,96505001
39538382,198756544
180398332,145126666
54854546,380980999
39577684,196493464
180177459,615165108
386937989,228061240
5856094,635003
313800061,324523675
257069764,216014762
98306295,323264757
427076362,172086834
271311728,258156992
171332234,89098265
210780562,228131733
228741614,316470083
66060875,1236375
5856094,2740341
195438755,56845033
189952272,257113909
80671383,189715
665764935,340121125
321776183,267127004
471276575,241600989
228741614,342786411
419054284,628911168
567877525,162033280
166627739,220835712
428113258,306139134
281095868,528779704
166627739,175308659
180398332,425579018
250043232,356022200
731564795,505535386
401629439,143055651
195438755,189142280
166627739,44997902
156110357,585649157
466889037,398462981
547782928,223109357
415644346,523227408
36041325,345280822
420893527,303666582
146553153,2822091
355326012,482104586
419054284,654960380
402236678,220994196
471276575,147887715
401629439,325380374
270288637,67890833
112082607,47039133
430788636,453136728
401629439,301885014
455209110,181225385
9300105,472861794
471276575,488058005
299908306,148129527
690736214,750314520
418495890,401926853
547782928,285387913
3346542,166393498
171332234,201895040
1756709,20351275
427076362,36518868
195438755,302683359
13588275,17927735
275682281,320914386
348759551,44163083
178786625,164534716
552761297,470379677
3346542,175478452
195438755,3346542
662741463,161342564
5856094,23777179
88785305,807189643
173774259,99189885
390860892,2484240
508522179,573452165
27263359,121591645
255458851,571009371
386937989,316470083
498156621,205993560
7894249,323650297
662741463,320735906
9300105,94824934
430788636,458388944
852669061,465650364
299197852,303818273
333055487,341480914
181899699,5777643
386937989,589026916
180177459,259128934
549033684,262003201
93511481,570841572
547782928,233307477
42589261,141985962
281095868,65847058
39538382,392875807
401629439,369325612
281095868,383621249
156110357,179730019
56623888,5010701
390860892,115741638
6273964,6093126
240443780,152861647
176160965,522938982
222659660,169803640
3346542,7903950
569125867,209948615
428113258,301340588
427076362,179500522
390860892,1137461
181899699,183031548
11582761,532408024
171332234,37025668
296485275,304604908
195438755,9566339
475063255,468948922
258611275,430811895
59245310,36641701
390860892,2923655
471276575,475347725
294291839,534932283
59245310,11911644
42589261,120341656
181899699,6587530
244704883,270754257
569125867,273716502
347865855,367688327
323705571,368231106
240443780,38589796
456925212,384284662
241514576,67842446
428113258,330745700
346494351,331858105
344133220,760110876
549033684,422084176
428113258,371804760
195438755,125257668
321776183,282107618
2762541,539196525
112082607,765055249
662741463,166473249
326369514,295969776
244704883,455213365
271476229,120341656
430788636,453499874
456494191,671827988
13588275,33404085
299908306,147612583
258846989,266913939
384409125,470578804
426240389,611586962
333156814,376893363
146553153,25368931
3346542,466193784
662741463,44051595
390857534,261186573
181899699,7072207
88785305,268942251
420893527,316284191
614288838,230425350
401629439,271286897
190936664,241707306
344133220,326369514
244704883,299038177
344924333,202355160
171332234,268450555
299908306,370683638
401629439,398989814
547782928,186318530
244704883,3334525
401671432,273609622
9030558,248450505
237403943,115121817
427076362,5637070
344924333,474602298
427076362,2023153
181899699,60246561
340121125,495732185
183406465,163608269
208698330,155216480
662741463,242766448
728776785,684881687
225492573,256914739
146553153,83414880
317264818,293828103
378015876,530075073
333156814,496862911
21233695,1142726
420893527,177888491
222659660,255930553
244704883,270166037
146553153,141985962
456494191,141246072
13588275,7050334
137363946,223215641
112082607,328990078
271311728,134065845
94867644,506446286
549033684,508436326
69181460,535536597
240443780,435166126
270288637,318757561
466878925,618759827
655632263,1370427
433848592,199371099
386937989,402794609
268459147,141326771
655632263,755217628
549033684,605941532
276038447,251260363
498156621,217466996
181899699,47403528
335892490,181827394
619577615,814469100
293967302,477347101
655632263,27993067
547782928,324045285
384010484,141869
2762541,257673049
13588275,11099933
1756709,610708126
248652763,351076536
569125867,298929276
569125867,271194543
427294725,145322791
390860892,177297261
241514576,33559136
526134748,456029227
267407970,265346671
5856094,4614912
401629439,293271718
271476229,242298394
11582761,309021021
257465738,264566389
146553153,9380443
358528631,168779542
526134748,391504204
343048272,314942964
145015907,488243736
471276575,419155676
353361625,326866301
465506973,317225032
11582761,179052039
299908306,217765450
300919599,137015633
9300105,12324046
480719713,467571468
23810143,379232666
19616909,175537173
480719713,389454652
11582761,413860800
25891559,24572291
219057303,201020357
427076362,4210639
210930165,119963127
146553153,109968017
547782928,147440890
250496539,264603735
7894249,382073647
390860892,9929098
334072835,379186198
852669061,464061946
246484756,256000152
728776785,648486273
207383715,340121125
240352641,219755185
662741463,2592129
456925212,400939038
181306939,296772470
25891559,94613963
287195165,96641995
390860892,136713429
11582761,286290636
224734599,269092411
171332234,308189923
212397580,229204168
427076362,18450869
173860653,342418336
347865855,427897171
690736214,379258512
662741463,269433090
662741463,307761356
662741463,370848726
662741463,366590105
547782928,353680440
58314538,76676556
300919599,26767717
480719713,191356879
611408859,257611461
252182879,227125429
7894249,6519363
465506973,349193795
863599971,139487246
293967302,498787541
662741463,162079378
13588275,1478437
13588275,5044059
690736214,654807189
420893527,267113987
516146289,495371428
430788636,447887521
358528631,554778204
566922501,665764935
300919599,194943084
318768118,191710797
11582761,93986077
166627739,187426962
428113258,311026570
539798041,340121125
42735014,63624138
466878925,737277280
690736214,61617424
3346542,133477451
282677928,274972048
549681790,507058560
257066830,212557829
5856094,15913366
852669061,256770170
655632263,652550543
244704883,396885321
166627739,448564883
275682281,177246498
36041325,460313891
171332234,288171084
243793990,35965382
420893527,310965318
615031958,662321716
852669061,715149105
662741463,249091724
456925212,427140601
261018442,549139476
281095868,277233321
549033684,461329231
171332234,113787142
453895363,175037106
181899699,134259953
480719713,338287809
566922501,690979319
426240389,509189116
401629439,223484493
225492573,183024627
11582761,12629899
257004484,539160454
1756709,293845918
342659670,612551108
406806074,312469128
406806074,271797105
852669061,521551405
281095868,321045806
5856094,945747
358528631,293383689
180177459,396399685
39577684,228175489
195438755,21274274
401629439,394077576
326807134,645236264
863599971,10296421
181899699,674021
456925212,137285574
455209110,783117149
244704883,448038795
456925212,381462620
42735014,8594087
181226986,246254458
319628783,153070522
611408859,629399640
348609170,182410665
401629439,127911066
207634257,11564356
260785266,483463340
414176127,404424486
401629439,170501336
339019684,363323189
282343851,324457118
322319926,461092682
549033684,538502520
282677928,338853790
7894249,1524277
23810143,107362579
299908306,353263376
427076362,166508147
321776183,289827781
273881727,630383199
195438755,201213711
428113258,364472846
112082607,99859579
205420949,38219632
81789098,1879118
549033684,367984096
261723359,53834651
3346542,4012744
498156621,571942189
406806074,208559157
282343851,289578659
366642900,282343851
355467757,237054720
549033684,534050742
217885729,137898849
456494191,298170906
555746062,486487944
257673049,282989865
191228642,65918328
282343851,227390977
390857534,357004461
249838483,250393128
207634257,160767767
195438755,1252052
506446286,333388254
222659660,5497523
547782928,227434237
181226986,506277603
335020490,118997746
58314538,109849359
183406465,646899545
13588275,20640330
5856094,39791120
576290948,148049733
225492573,136264300
236690140,221957962
166627739,707863672
852669061,720947475
88785305,535027662
5856094,5718442
471276575,425646135
5856094,25061570
558255592,277557027
662741463,309253883
323705571,209031620
7894249,256679560
317264818,260163646
271311728,345151862
14204987,380424478
240098981,207336097
181899699,13693459
232094840,258846989
465506973,550187358
547782928,311196722
244704883,280291084
228128499,753710965
277019335,329876374
566922501,606906952
257332093,303954581
14204987,27694486
430788636,316054816
243386830,330230018
14204987,196707714
166627739,66113481
456925212,369452455
7894249,4162937
4408195,226690249
390860892,145989043
375483829,122221134
863599971,30631184
7894249,16036429
258846989,364190501
420893527,356495217
375483829,523009400
146553153,45689065
181899699,853459
390860892,44899317
558255592,268698733
65011900,30545767
343048272,147562855
401629439,210133965
181899699,2646069
863599971,29432300
34381710,365081366
259551635,37155912
25891559,586515315
456494191,357004461
1756709,182403574
146553153,58446030
427076362,213645875
569125867,68555704
195438755,9654879
271311728,392681970
5856094,2995487
9030558,742907482
466889037,150485066
428113258,305056227
5856094,4765466
257465738,312423293
402236678,131168160
293967302,403078864
257004484,159191628
572260979,852669061
2762541,81144549
498156621,339089261
159004480,19616909
357795422,24652183
124487696,282671344
655632263,184619778
465506973,494870593
267407970,39538382
549033684,564882448
427076362,4041699
547782928,118579785
381144370,324051471
166627739,121561389
281095868,458987462
430788636,393544216
428113258,285610466
166627739,36152229
3346542,1761634
384409125,447623158
401629439,196398010
863599971,15419080
257465738,301678832
406806074,229613283
171332234,197849336
146553153,159382145
13588275,17141341
662741463,314468676
466889037,7888839
13588275,45217849
381144370,332246886
250496539,263606733
3346542,280395362
135883377,22656890
390860892,172796814
183406465,15109405
257386414,380538180
183406465,136806353
427076362,203930472
166627739,260225978
181899699,15945805
560875125,691514442
461547882,738300969
428113258,101326690
11425284,267111565
99228440,340121125
549033684,572662502
569125867,156339091
662741463,227996068
353361625,457357732
863599971,32744711
390860892,44968633
430788636,186719479
569125867,383632954
244704883,91272922
619577615,639076747
171332234,107795241
257465738,266520425
7894249,100912430
250496539,147813471
342659670,167690893
260771135,134180739
299908306,135754395
124487696,294081880
299197852,609751914
241514576,288159515
863599971,181944389
430788636,457145310
11582761,205423404
240352641,122359377
420893527,203032648
647849421,319524849
246392839,134216605
39538382,168551669
290007128,460327440
690736214,520768636
558255592,293566349
273881727,287711971
36041325,809257993
1756709,843083655
13588275,6542465
852669061,642553207
360766380,416474564
360766380,387269748
282343851,429381168
246422438,500664720
39538382,1795430
240352641,177368220
271476229,556762646
190936664,329208061
5856094,2820318
455209110,842872486
402236678,309645353
290800603,356472411
282755017,424563476
471276575,362729827
333156814,575539762
36041325,700985695
240352641,159282770
255366094,295880370
362283569,102718089
456494191,561237386
25891559,248723708
241514576,661645697
547782928,269032148
245514279,157654236
104196443,210930165
90696069,39339022
273881727,425751104
281095868,805836212
317264818,175209229
181899699,3529005
420893527,214968317
360766380,449513191
42735014,786341486
662741463,170590530
402236678,294355207
5856094,39379305
391504204,263305278
257465738,168404018
183406465,297977513
11425284,366678270
567877525,440708489
137363946,154953186
453187528,396449093
199891666,84483675
195438755,10866758
11582761,69887868
401629439,296768186
390860892,98418292
258611275,408881387
257465738,283076438
21233695,45850605
225492573,183900960
156110357,75798279
137037837,328652441
662741463,142324248
42735014,185633790
483918118,517268433
271057290,94832228
283605975,593570152
547782928,254657905
471276575,103124539
257465738,87608786
241514576,218845395
80671383,8008217
80671383,58080955
427076362,33581687
447582384,491471853
401629439,378364206
183406465,464947580
246392839,331333778
241514576,121666099
540304869,447582384
166627739,232925667
1756709,872686
427076362,772753
244704883,445923634
3346542,154790830
267407970,440655404
145015907,64562374
344924333,267180941
258846989,464036967
619577615,578245106
662741463,302985067
549033684,447002909
13588275,15345511
220463923,179264185
365531616,511506400
381144370,344084728
244704883,262887037
358528631,236434667
228128499,190043013
420893527,367044724
346494351,69181460
171332234,290573634
9030558,98813697
172653463,453871801
257004484,469606468
269092411,282671344
731564795,5273387
299908306,7112757
39577684,2274716
456925212,335094299
172653463,107763435
655632263,812183353
268713514,368128044
5856094,37884981
547782928,234619468
282755017,714021480
483918118,146592160
9030558,93449399
516146289,577807
180398332,295043699
569125867,168460614
242149525,216546028
9030558,268459147
728776785,688609621
312260701,293538098
480978443,248613420
7894249,27266803
171332234,259277012
95176713,536750120
358528631,181297877
181899699,92312403
210930165,244396724
420893527,164958829
7894249,397521999
112082607,39586737
163732075,508522179
13588275,13985900
11582761,136668270
269092411,142428323
296485275,569030788
162273052,267591182
852669061,557733503
248652763,499251401
240352641,180897842
343048272,507113322
300919599,24036362
346494351,747788224
246392839,298481005
549033684,733906711
250043232,411461334
112082607,74075849
246484756,223568245
190936664,224516713
248652763,89208005
456925212,140916755
171332234,124495229
171332234,324828060
420893527,118645593
238384014,219305476
427076362,100368505
420893527,232395694
229814797,256262373
180177459,19836990
3408568,209557984
614288838,619129654
163209102,376692677
456925212,87249698
475063255,248377333
269092411,294081880
430788636,446739404
14204987,12900052
428113258,406403246
690736214,304236685
401629439,191689801
282343851,255426305
258846989,246216868
883949615,113678765
375483829,236393361
42589261,515385678
471276575,493466630
7894249,274972048
427076362,71825308
549033684,53631714
267609629,8133097
346494351,481818977
488243736,42589261
94867644,603921347
360766380,161985169
569125867,395643095
576290948,521925961
42735014,35318449
420893527,281440797
11582761,138713554
321776183,316509914
420893527,232238700
360766380,543211136
510323427,489636213
391504204,100997947
146553153,41536809
249838483,250184805
378015876,610148584
547782928,201544841
257004484,163730523
54854546,288302614
89391111,181379424
378015876,240480348
58314538,60941791
547782928,298737319
